"","x"
"142","Hematopoietic stem cells_CD133+ CD34dim"
"143","Hematopoietic stem cells_CD133+ CD34dim"
"144","Erythroid_CD34+ CD71+ GlyA-"
"145","Hematopoietic stem cells_CD133+ CD34dim"
"146","Hematopoietic stem cells_CD133+ CD34dim"
"147","Megakaryocyte/erythroid progenitors"
"148","Common myeloid progenitors"
"149","Myeloid Dendritic Cells"
"150","Myeloid Dendritic Cells"
"151","Colony Forming Unit-Monocytes"
"152","Hematopoietic stem cells_CD133+ CD34dim"
"153","Hematopoietic stem cells_CD133+ CD34dim"
"154","Common myeloid progenitors"
"155","Hematopoietic stem cells_CD133+ CD34dim"
"156","Common myeloid progenitors"
"157","Megakaryocyte/erythroid progenitors"
"158","Hematopoietic stem cells_CD133+ CD34dim"
"159","Early B cells"
"160","Early B cells"
"161","Hematopoietic stem cells_CD133+ CD34dim"
"162","Hematopoietic stem cells_CD133+ CD34dim"
"163","Hematopoietic stem cells_CD133+ CD34dim"
"164","Hematopoietic stem cells_CD133+ CD34dim"
"165","Early B cells"
"166","Common myeloid progenitors"
"167","Erythroid_CD34+ CD71+ GlyA-"
"168","Hematopoietic stem cells_CD133+ CD34dim"
"169","Erythroid_CD34+ CD71+ GlyA-"
"170","Common myeloid progenitors"
"171","Hematopoietic stem cells_CD133+ CD34dim"
"172","Early B cells"
"173","Erythroid_CD34- CD71+ GlyA+"
"174","Hematopoietic stem cells_CD133+ CD34dim"
"175","Mature B cells class able to switch"
"176","Hematopoietic stem cells_CD133+ CD34dim"
"177","Hematopoietic stem cells_CD133+ CD34dim"
"178","Common myeloid progenitors"
"179","Megakaryocyte/erythroid progenitors"
"180","Hematopoietic stem cells_CD133+ CD34dim"
"181","Early B cells"
"182","Hematopoietic stem cells_CD133+ CD34dim"
"183","Erythroid_CD34+ CD71+ GlyA-"
"184","Common myeloid progenitors"
"185","Early B cells"
"186","Hematopoietic stem cells_CD133+ CD34dim"
"187","Early B cells"
"188","Hematopoietic stem cells_CD133+ CD34dim"
"189","Common myeloid progenitors"
"190","Common myeloid progenitors"
"191","Erythroid_CD34+ CD71+ GlyA-"
"192","Erythroid_CD34+ CD71+ GlyA-"
"193","Hematopoietic stem cells_CD133+ CD34dim"
"194","Erythroid_CD34+ CD71+ GlyA-"
"195","Early B cells"
"196","Common myeloid progenitors"
"197","Hematopoietic stem cells_CD133+ CD34dim"
"198","Early B cells"
"199","Common myeloid progenitors"
"200","Colony Forming Unit-Monocytes"
"201","Early B cells"
"202","Plasmacytoid Dendritic Cells"
"203","Hematopoietic stem cells_CD133+ CD34dim"
"204","Hematopoietic stem cells_CD133+ CD34dim"
"205","Common myeloid progenitors"
"206","Colony Forming Unit-Monocytes"
"207","Hematopoietic stem cells_CD133+ CD34dim"
"208","Common myeloid progenitors"
"209","Colony Forming Unit-Monocytes"
"210","Hematopoietic stem cells_CD133+ CD34dim"
"211","Hematopoietic stem cells_CD133+ CD34dim"
"212","Hematopoietic stem cells_CD133+ CD34dim"
"213","Plasmacytoid Dendritic Cells"
"214","Early B cells"
"215","Hematopoietic stem cells_CD133+ CD34dim"
"216","Hematopoietic stem cells_CD133+ CD34dim"
"217","Hematopoietic stem cells_CD133+ CD34dim"
"218","Hematopoietic stem cells_CD133+ CD34dim"
"219","Hematopoietic stem cells_CD133+ CD34dim"
"220","Hematopoietic stem cells_CD133+ CD34dim"
"221","Hematopoietic stem cells_CD133+ CD34dim"
"222","Common myeloid progenitors"
"223","Granulocyte/monocyte progenitors"
"224","Erythroid_CD34+ CD71+ GlyA-"
"225","Erythroid_CD34+ CD71+ GlyA-"
"226","Erythroid_CD34- CD71lo GlyA+"
"227","Hematopoietic stem cells_CD133+ CD34dim"
"228","Erythroid_CD34+ CD71+ GlyA-"
"229","Early B cells"
"230","Hematopoietic stem cells_CD133+ CD34dim"
"231","Plasmacytoid Dendritic Cells"
"232","Common myeloid progenitors"
"233","Hematopoietic stem cells_CD133+ CD34dim"
"234","Erythroid_CD34+ CD71+ GlyA-"
"235","Common myeloid progenitors"
"236","Erythroid_CD34- CD71+ GlyA+"
"237","Hematopoietic stem cells_CD133+ CD34dim"
"238","Early B cells"
"239","Erythroid_CD34+ CD71+ GlyA-"
"240","Hematopoietic stem cells_CD133+ CD34dim"
"241","Common myeloid progenitors"
"242","Erythroid_CD34+ CD71+ GlyA-"
"243","Common myeloid progenitors"
"244","Hematopoietic stem cells_CD133+ CD34dim"
"245","Hematopoietic stem cells_CD133+ CD34dim"
"246","Common myeloid progenitors"
"247","Early B cells"
"248","Hematopoietic stem cells_CD133+ CD34dim"
"249","Hematopoietic stem cells_CD133+ CD34dim"
"250","Megakaryocyte/erythroid progenitors"
"251","Common myeloid progenitors"
"252","Erythroid_CD34+ CD71+ GlyA-"
"253","Early B cells"
"254","Plasmacytoid Dendritic Cells"
"255","Hematopoietic stem cells_CD133+ CD34dim"
"256","Early B cells"
"257","Hematopoietic stem cells_CD133+ CD34dim"
"258","Plasmacytoid Dendritic Cells"
"259","Hematopoietic stem cells_CD133+ CD34dim"
"260","Hematopoietic stem cells_CD133+ CD34dim"
"261","Hematopoietic stem cells_CD133+ CD34dim"
"262","Erythroid_CD34+ CD71+ GlyA-"
"263","Hematopoietic stem cells_CD133+ CD34dim"
"264","Plasmacytoid Dendritic Cells"
"265","Common myeloid progenitors"
"266","Colony Forming Unit-Monocytes"
"267","Hematopoietic stem cells_CD133+ CD34dim"
"268","Hematopoietic stem cells_CD133+ CD34dim"
"269","Megakaryocyte/erythroid progenitors"
"270","Hematopoietic stem cells_CD133+ CD34dim"
"271","Hematopoietic stem cells_CD133+ CD34dim"
"272","Hematopoietic stem cells_CD133+ CD34dim"
"273","Common myeloid progenitors"
"274","Common myeloid progenitors"
"275","Common myeloid progenitors"
"276","Common myeloid progenitors"
"277","Hematopoietic stem cells_CD133+ CD34dim"
"278","Plasmacytoid Dendritic Cells"
"279","Common myeloid progenitors"
"280","Plasmacytoid Dendritic Cells"
"281","Hematopoietic stem cells_CD133+ CD34dim"
"282","Common myeloid progenitors"
"283","Erythroid_CD34+ CD71+ GlyA-"
"284","Myeloid Dendritic Cells"
"285","Colony Forming Unit-Monocytes"
"286","Erythroid_CD34+ CD71+ GlyA-"
"287","Erythroid_CD34+ CD71+ GlyA-"
"288","Early B cells"
"289","Early B cells"
"290","Hematopoietic stem cells_CD133+ CD34dim"
"291","Early B cells"
"292","Early B cells"
"293","Hematopoietic stem cells_CD133+ CD34dim"
"294","Myeloid Dendritic Cells"
"295","Hematopoietic stem cells_CD133+ CD34dim"
"296","Hematopoietic stem cells_CD133+ CD34dim"
"297","Myeloid Dendritic Cells"
"298","Early B cells"
"299","Early B cells"
"300","Common myeloid progenitors"
"301","Common myeloid progenitors"
"302","Plasmacytoid Dendritic Cells"
"303","Hematopoietic stem cells_CD133+ CD34dim"
"304","Hematopoietic stem cells_CD133+ CD34dim"
"305","Hematopoietic stem cells_CD133+ CD34dim"
"306","Plasmacytoid Dendritic Cells"
"307","Hematopoietic stem cells_CD133+ CD34dim"
"308","Erythroid_CD34- CD71+ GlyA-"
"309","Hematopoietic stem cells_CD133+ CD34dim"
"310","Early B cells"
"311","Eosinophils"
"312","Hematopoietic stem cells_CD133+ CD34dim"
"313","Hematopoietic stem cells_CD133+ CD34dim"
"314","Hematopoietic stem cells_CD133+ CD34dim"
"315","Erythroid_CD34+ CD71+ GlyA-"
"316","Hematopoietic stem cells_CD133+ CD34dim"
"317","Erythroid_CD34+ CD71+ GlyA-"
"318","Erythroid_CD34+ CD71+ GlyA-"
"319","Plasmacytoid Dendritic Cells"
"320","Erythroid_CD34+ CD71+ GlyA-"
"321","Common myeloid progenitors"
"322","Erythroid_CD34+ CD71+ GlyA-"
"323","Hematopoietic stem cells_CD133+ CD34dim"
"324","Plasmacytoid Dendritic Cells"
"325","Erythroid_CD34+ CD71+ GlyA-"
"326","Erythroid_CD34+ CD71+ GlyA-"
"327","Hematopoietic stem cells_CD133+ CD34dim"
"328","Hematopoietic stem cells_CD133+ CD34dim"
"329","Hematopoietic stem cells_CD133+ CD34dim"
"330","Granulocyte/monocyte progenitors"
"331","Hematopoietic stem cells_CD133+ CD34dim"
"332","Hematopoietic stem cells_CD133+ CD34dim"
"333","Common myeloid progenitors"
"334","Plasmacytoid Dendritic Cells"
"335","Megakaryocyte/erythroid progenitors"
"336","Common myeloid progenitors"
"337","Hematopoietic stem cells_CD133+ CD34dim"
"338","Hematopoietic stem cells_CD133+ CD34dim"
"339","Hematopoietic stem cells_CD133+ CD34dim"
"340","Hematopoietic stem cells_CD133+ CD34dim"
"341","Hematopoietic stem cells_CD133+ CD34dim"
"342","Hematopoietic stem cells_CD133+ CD34dim"
"343","Hematopoietic stem cells_CD133+ CD34dim"
"344","Erythroid_CD34- CD71+ GlyA+"
"345","Naïve B cells"
"346","Erythroid_CD34- CD71+ GlyA+"
"347","Erythroid_CD34+ CD71+ GlyA-"
"348","Hematopoietic stem cells_CD133+ CD34dim"
"349","Hematopoietic stem cells_CD133+ CD34dim"
"350","Erythroid_CD34+ CD71+ GlyA-"
"351","Megakaryocyte/erythroid progenitors"
"352","Hematopoietic stem cells_CD133+ CD34dim"
"353","Hematopoietic stem cells_CD133+ CD34dim"
"354","Common myeloid progenitors"
"355","Colony Forming Unit-Monocytes"
"356","Plasmacytoid Dendritic Cells"
"357","Early B cells"
"358","Colony Forming Unit-Monocytes"
"359","Hematopoietic stem cells_CD133+ CD34dim"
"360","Hematopoietic stem cells_CD133+ CD34dim"
"361","Erythroid_CD34+ CD71+ GlyA-"
"362","Hematopoietic stem cells_CD133+ CD34dim"
"363","Erythroid_CD34- CD71lo GlyA+"
"364","Early B cells"
"365","Hematopoietic stem cells_CD133+ CD34dim"
"366","Megakaryocyte/erythroid progenitors"
"367","Hematopoietic stem cells_CD133+ CD34dim"
