"","x"
"1240","Hematopoietic stem cells_CD133+ CD34dim"
"1241","Early B cells"
"1242","Megakaryocyte/erythroid progenitors"
"1243","Early B cells"
"1244","Myeloid Dendritic Cells"
"1245","Erythroid_CD34- CD71lo GlyA+"
"1246","Erythroid_CD34+ CD71+ GlyA-"
"1247","Common myeloid progenitors"
"1248","Common myeloid progenitors"
"1249","Hematopoietic stem cells_CD133+ CD34dim"
"1250","Erythroid_CD34+ CD71+ GlyA-"
"1251","Erythroid_CD34+ CD71+ GlyA-"
"1252","Early B cells"
"1253","Hematopoietic stem cells_CD133+ CD34dim"
"1254","Hematopoietic stem cells_CD133+ CD34dim"
"1255","Hematopoietic stem cells_CD133+ CD34dim"
"1256","Megakaryocyte/erythroid progenitors"
"1257","Hematopoietic stem cells_CD133+ CD34dim"
"1258","Hematopoietic stem cells_CD133+ CD34dim"
"1259","Early B cells"
"1260","Hematopoietic stem cells_CD133+ CD34dim"
"1261","Hematopoietic stem cells_CD38- CD34+"
"1262","Megakaryocyte/erythroid progenitors"
"1263","Early B cells"
"1264","Hematopoietic stem cells_CD133+ CD34dim"
"1265","Megakaryocyte/erythroid progenitors"
"1266","Erythroid_CD34+ CD71+ GlyA-"
"1267","Erythroid_CD34- CD71+ GlyA+"
"1268","Erythroid_CD34+ CD71+ GlyA-"
"1269","Early B cells"
"1270","Hematopoietic stem cells_CD133+ CD34dim"
"1271","Common myeloid progenitors"
"1272","Early B cells"
"1273","Myeloid Dendritic Cells"
"1274","Erythroid_CD34+ CD71+ GlyA-"
"1275","Hematopoietic stem cells_CD133+ CD34dim"
"1276","Hematopoietic stem cells_CD133+ CD34dim"
"1277","Hematopoietic stem cells_CD133+ CD34dim"
"1278","Common myeloid progenitors"
"1279","Hematopoietic stem cells_CD133+ CD34dim"
"1280","Common myeloid progenitors"
"1281","Common myeloid progenitors"
"1282","Colony Forming Unit-Monocytes"
"1283","Hematopoietic stem cells_CD133+ CD34dim"
"1284","Hematopoietic stem cells_CD133+ CD34dim"
"1285","Erythroid_CD34+ CD71+ GlyA-"
"1286","Hematopoietic stem cells_CD133+ CD34dim"
"1287","Early B cells"
"1288","Hematopoietic stem cells_CD133+ CD34dim"
"1289","Erythroid_CD34+ CD71+ GlyA-"
"1290","Hematopoietic stem cells_CD133+ CD34dim"
"1291","Early B cells"
"1292","Hematopoietic stem cells_CD133+ CD34dim"
"1293","Hematopoietic stem cells_CD133+ CD34dim"
"1294","Hematopoietic stem cells_CD133+ CD34dim"
"1295","Hematopoietic stem cells_CD133+ CD34dim"
"1296","Early B cells"
"1297","Early B cells"
"1298","Erythroid_CD34+ CD71+ GlyA-"
"1299","Common myeloid progenitors"
"1300","Erythroid_CD34+ CD71+ GlyA-"
"1301","Hematopoietic stem cells_CD133+ CD34dim"
"1302","Common myeloid progenitors"
"1303","Hematopoietic stem cells_CD133+ CD34dim"
"1304","Megakaryocyte/erythroid progenitors"
"1305","Hematopoietic stem cells_CD133+ CD34dim"
"1306","Megakaryocyte/erythroid progenitors"
"1307","Common myeloid progenitors"
"1308","Early B cells"
"1309","Erythroid_CD34+ CD71+ GlyA-"
"1310","Hematopoietic stem cells_CD38- CD34+"
"1311","Hematopoietic stem cells_CD133+ CD34dim"
"1312","Erythroid_CD34+ CD71+ GlyA-"
"1313","Hematopoietic stem cells_CD133+ CD34dim"
"1314","Hematopoietic stem cells_CD133+ CD34dim"
"1315","Erythroid_CD34+ CD71+ GlyA-"
"1316","Hematopoietic stem cells_CD133+ CD34dim"
"1317","Common myeloid progenitors"
"1318","Naïve B cells"
"1319","Hematopoietic stem cells_CD133+ CD34dim"
"1320","Erythroid_CD34- CD71lo GlyA+"
"1321","Plasmacytoid Dendritic Cells"
"1322","Hematopoietic stem cells_CD133+ CD34dim"
"1323","Hematopoietic stem cells_CD133+ CD34dim"
"1324","Common myeloid progenitors"
"1325","Common myeloid progenitors"
"1326","Plasmacytoid Dendritic Cells"
"1327","Hematopoietic stem cells_CD133+ CD34dim"
"1328","Hematopoietic stem cells_CD133+ CD34dim"
"1329","Hematopoietic stem cells_CD133+ CD34dim"
"1330","Hematopoietic stem cells_CD133+ CD34dim"
"1331","Hematopoietic stem cells_CD133+ CD34dim"
"1332","Common myeloid progenitors"
"1333","Common myeloid progenitors"
"1334","Hematopoietic stem cells_CD133+ CD34dim"
"1335","Hematopoietic stem cells_CD133+ CD34dim"
"1336","Erythroid_CD34+ CD71+ GlyA-"
"1337","Hematopoietic stem cells_CD133+ CD34dim"
"1338","Megakaryocyte/erythroid progenitors"
"1339","Common myeloid progenitors"
"1340","Hematopoietic stem cells_CD133+ CD34dim"
"1341","Megakaryocyte/erythroid progenitors"
"1342","Hematopoietic stem cells_CD133+ CD34dim"
"1343","Monocytes"
"1344","Early B cells"
"1345","Hematopoietic stem cells_CD133+ CD34dim"
"1346","Hematopoietic stem cells_CD133+ CD34dim"
"1347","Hematopoietic stem cells_CD133+ CD34dim"
"1348","Common myeloid progenitors"
"1349","Erythroid_CD34+ CD71+ GlyA-"
"1350","Colony Forming Unit-Monocytes"
"1351","Common myeloid progenitors"
"1352","Common myeloid progenitors"
"1353","Hematopoietic stem cells_CD133+ CD34dim"
"1354","Hematopoietic stem cells_CD133+ CD34dim"
"1355","Erythroid_CD34+ CD71+ GlyA-"
"1356","Hematopoietic stem cells_CD133+ CD34dim"
"1357","Hematopoietic stem cells_CD133+ CD34dim"
"1358","Hematopoietic stem cells_CD133+ CD34dim"
"1359","Common myeloid progenitors"
"1360","Common myeloid progenitors"
"1361","Early B cells"
"1362","Erythroid_CD34- CD71lo GlyA+"
"1363","Hematopoietic stem cells_CD133+ CD34dim"
"1364","Early B cells"
"1365","Erythroid_CD34+ CD71+ GlyA-"
"1366","Hematopoietic stem cells_CD133+ CD34dim"
"1367","Hematopoietic stem cells_CD133+ CD34dim"
"1368","Hematopoietic stem cells_CD133+ CD34dim"
"1369","Erythroid_CD34+ CD71+ GlyA-"
"1370","Hematopoietic stem cells_CD133+ CD34dim"
"1371","Hematopoietic stem cells_CD133+ CD34dim"
"1372","Common myeloid progenitors"
"1373","Megakaryocyte/erythroid progenitors"
"1374","Hematopoietic stem cells_CD133+ CD34dim"
"1375","Hematopoietic stem cells_CD133+ CD34dim"
"1376","Early B cells"
"1377","Common myeloid progenitors"
"1378","Common myeloid progenitors"
"1379","Common myeloid progenitors"
"1380","Common myeloid progenitors"
"1381","Hematopoietic stem cells_CD133+ CD34dim"
"1382","Hematopoietic stem cells_CD133+ CD34dim"
"1383","Plasmacytoid Dendritic Cells"
"1384","Hematopoietic stem cells_CD133+ CD34dim"
"1385","Megakaryocyte/erythroid progenitors"
"1386","Hematopoietic stem cells_CD133+ CD34dim"
"1387","Early B cells"
"1388","Hematopoietic stem cells_CD133+ CD34dim"
"1389","Erythroid_CD34+ CD71+ GlyA-"
"1390","Hematopoietic stem cells_CD133+ CD34dim"
"1391","Colony Forming Unit-Monocytes"
"1392","Hematopoietic stem cells_CD133+ CD34dim"
"1393","Hematopoietic stem cells_CD133+ CD34dim"
"1394","Hematopoietic stem cells_CD133+ CD34dim"
"1395","Hematopoietic stem cells_CD133+ CD34dim"
"1396","Early B cells"
"1397","Early B cells"
"1398","Hematopoietic stem cells_CD133+ CD34dim"
"1399","Megakaryocyte/erythroid progenitors"
"1400","Early B cells"
"1401","Hematopoietic stem cells_CD133+ CD34dim"
"1402","Megakaryocyte/erythroid progenitors"
"1403","Erythroid_CD34- CD71lo GlyA+"
"1404","Hematopoietic stem cells_CD133+ CD34dim"
"1405","Erythroid_CD34+ CD71+ GlyA-"
"1406","Erythroid_CD34+ CD71+ GlyA-"
"1407","Common myeloid progenitors"
"1408","Hematopoietic stem cells_CD133+ CD34dim"
"1409","Myeloid Dendritic Cells"
"1410","Hematopoietic stem cells_CD133+ CD34dim"
"1411","Early B cells"
"1412","Erythroid_CD34- CD71+ GlyA-"
"1413","Plasmacytoid Dendritic Cells"
"1414","Erythroid_CD34+ CD71+ GlyA-"
"1415","Hematopoietic stem cells_CD133+ CD34dim"
"1416","Hematopoietic stem cells_CD133+ CD34dim"
"1417","Erythroid_CD34+ CD71+ GlyA-"
"1418","Hematopoietic stem cells_CD133+ CD34dim"
"1419","Hematopoietic stem cells_CD133+ CD34dim"
"1420","Hematopoietic stem cells_CD133+ CD34dim"
"1421","Hematopoietic stem cells_CD133+ CD34dim"
"1422","Hematopoietic stem cells_CD133+ CD34dim"
"1423","Erythroid_CD34+ CD71+ GlyA-"
"1424","Myeloid Dendritic Cells"
"1425","Erythroid_CD34+ CD71+ GlyA-"
"1426","Common myeloid progenitors"
"1427","Hematopoietic stem cells_CD133+ CD34dim"
"1428","Monocytes"
"1429","Hematopoietic stem cells_CD133+ CD34dim"
"1430","Hematopoietic stem cells_CD133+ CD34dim"
"1431","Hematopoietic stem cells_CD133+ CD34dim"
"1432","Erythroid_CD34+ CD71+ GlyA-"
"1433","Hematopoietic stem cells_CD133+ CD34dim"
"1434","Hematopoietic stem cells_CD133+ CD34dim"
"1435","Hematopoietic stem cells_CD133+ CD34dim"
"1436","Erythroid_CD34+ CD71+ GlyA-"
"1437","Myeloid Dendritic Cells"
"1438","Common myeloid progenitors"
"1439","Hematopoietic stem cells_CD133+ CD34dim"
"1440","Common myeloid progenitors"
"1441","Erythroid_CD34+ CD71+ GlyA-"
"1442","Hematopoietic stem cells_CD133+ CD34dim"
"1443","Hematopoietic stem cells_CD133+ CD34dim"
"1444","Hematopoietic stem cells_CD133+ CD34dim"
"1445","Common myeloid progenitors"
"1446","Hematopoietic stem cells_CD133+ CD34dim"
"1447","Early B cells"
"1448","Megakaryocyte/erythroid progenitors"
"1449","Myeloid Dendritic Cells"
"1450","Common myeloid progenitors"
"1451","Common myeloid progenitors"
"1452","Common myeloid progenitors"
"1453","Colony Forming Unit-Monocytes"
"1454","Hematopoietic stem cells_CD133+ CD34dim"
"1455","Hematopoietic stem cells_CD133+ CD34dim"
"1456","Erythroid_CD34+ CD71+ GlyA-"
"1457","Common myeloid progenitors"
"1458","Megakaryocyte/erythroid progenitors"
"1459","Erythroid_CD34+ CD71+ GlyA-"
"1460","Common myeloid progenitors"
"1461","Erythroid_CD34+ CD71+ GlyA-"
"1462","Monocytes"
"1463","Hematopoietic stem cells_CD133+ CD34dim"
"1464","Hematopoietic stem cells_CD133+ CD34dim"
"1465","Common myeloid progenitors"
"1466","Erythroid_CD34+ CD71+ GlyA-"
"1467","Hematopoietic stem cells_CD133+ CD34dim"
"1468","Hematopoietic stem cells_CD133+ CD34dim"
"1469","Hematopoietic stem cells_CD133+ CD34dim"
"1470","Erythroid_CD34+ CD71+ GlyA-"
"1471","Erythroid_CD34- CD71+ GlyA+"
"1472","Common myeloid progenitors"
"1473","Hematopoietic stem cells_CD133+ CD34dim"
"1474","Common myeloid progenitors"
"1475","Early B cells"
"1476","Common myeloid progenitors"
"1477","Hematopoietic stem cells_CD133+ CD34dim"
"1478","Monocytes"
"1479","Early B cells"
"1480","Hematopoietic stem cells_CD133+ CD34dim"
"1481","Hematopoietic stem cells_CD133+ CD34dim"
"1482","Hematopoietic stem cells_CD133+ CD34dim"
"1483","Hematopoietic stem cells_CD133+ CD34dim"
"1484","Hematopoietic stem cells_CD133+ CD34dim"
"1485","Hematopoietic stem cells_CD133+ CD34dim"
"1486","Hematopoietic stem cells_CD133+ CD34dim"
"1487","Common myeloid progenitors"
"1488","Hematopoietic stem cells_CD133+ CD34dim"
"1489","Hematopoietic stem cells_CD133+ CD34dim"
"1490","Erythroid_CD34+ CD71+ GlyA-"
"1491","Erythroid_CD34+ CD71+ GlyA-"
"1492","Common myeloid progenitors"
"1493","Hematopoietic stem cells_CD133+ CD34dim"
"1494","Common myeloid progenitors"
"1495","Erythroid_CD34+ CD71+ GlyA-"
"1496","Plasmacytoid Dendritic Cells"
"1497","Hematopoietic stem cells_CD133+ CD34dim"
"1498","Hematopoietic stem cells_CD133+ CD34dim"
"1499","Hematopoietic stem cells_CD133+ CD34dim"
"1500","Megakaryocyte/erythroid progenitors"
"1501","Hematopoietic stem cells_CD133+ CD34dim"
"1502","Hematopoietic stem cells_CD133+ CD34dim"
"1503","Common myeloid progenitors"
"1504","Early B cells"
"1505","Erythroid_CD34+ CD71+ GlyA-"
"1506","Hematopoietic stem cells_CD133+ CD34dim"
"1507","Common myeloid progenitors"
"1508","Hematopoietic stem cells_CD133+ CD34dim"
"1509","Common myeloid progenitors"
"1510","Hematopoietic stem cells_CD133+ CD34dim"
"1511","Erythroid_CD34+ CD71+ GlyA-"
"1512","Early B cells"
"1513","Hematopoietic stem cells_CD133+ CD34dim"
"1514","Megakaryocyte/erythroid progenitors"
"1515","Myeloid Dendritic Cells"
"1516","Hematopoietic stem cells_CD133+ CD34dim"
"1517","Hematopoietic stem cells_CD133+ CD34dim"
"1518","Colony Forming Unit-Monocytes"
"1519","Erythroid_CD34- CD71+ GlyA-"
"1520","Colony Forming Unit-Monocytes"
"1521","Hematopoietic stem cells_CD133+ CD34dim"
"1522","Hematopoietic stem cells_CD133+ CD34dim"
"1523","Hematopoietic stem cells_CD133+ CD34dim"
"1524","Myeloid Dendritic Cells"
"1525","Hematopoietic stem cells_CD133+ CD34dim"
"1526","Hematopoietic stem cells_CD133+ CD34dim"
"1527","Hematopoietic stem cells_CD133+ CD34dim"
"1528","Erythroid_CD34+ CD71+ GlyA-"
"1529","Hematopoietic stem cells_CD133+ CD34dim"
"1530","Erythroid_CD34+ CD71+ GlyA-"
"1531","Erythroid_CD34+ CD71+ GlyA-"
"1532","Hematopoietic stem cells_CD133+ CD34dim"
"1533","Hematopoietic stem cells_CD133+ CD34dim"
"1534","Hematopoietic stem cells_CD133+ CD34dim"
"1535","Erythroid_CD34+ CD71+ GlyA-"
"1536","Hematopoietic stem cells_CD133+ CD34dim"
"1537","Hematopoietic stem cells_CD133+ CD34dim"
"1538","Common myeloid progenitors"
"1539","Hematopoietic stem cells_CD133+ CD34dim"
"1540","Early B cells"
"1541","Hematopoietic stem cells_CD133+ CD34dim"
"1542","Hematopoietic stem cells_CD133+ CD34dim"
"1543","Megakaryocyte/erythroid progenitors"
"1544","Early B cells"
"1545","Common myeloid progenitors"
"1546","Common myeloid progenitors"
"1547","Erythroid_CD34+ CD71+ GlyA-"
"1548","Erythroid_CD34+ CD71+ GlyA-"
"1549","Hematopoietic stem cells_CD133+ CD34dim"
"1550","Hematopoietic stem cells_CD133+ CD34dim"
"1551","Common myeloid progenitors"
"1552","Megakaryocyte/erythroid progenitors"
"1553","Common myeloid progenitors"
"1554","Hematopoietic stem cells_CD133+ CD34dim"
"1555","Hematopoietic stem cells_CD133+ CD34dim"
"1556","Hematopoietic stem cells_CD133+ CD34dim"
"1557","Hematopoietic stem cells_CD133+ CD34dim"
"1558","Common myeloid progenitors"
"1559","Hematopoietic stem cells_CD133+ CD34dim"
"1560","Hematopoietic stem cells_CD133+ CD34dim"
"1561","Erythroid_CD34- CD71lo GlyA+"
"1562","Hematopoietic stem cells_CD133+ CD34dim"
"1563","Hematopoietic stem cells_CD133+ CD34dim"
"1564","Hematopoietic stem cells_CD133+ CD34dim"
"1565","Hematopoietic stem cells_CD133+ CD34dim"
"1566","Hematopoietic stem cells_CD133+ CD34dim"
"1567","Erythroid_CD34+ CD71+ GlyA-"
"1568","Myeloid Dendritic Cells"
"1569","Common myeloid progenitors"
"1570","Common myeloid progenitors"
"1571","Megakaryocyte/erythroid progenitors"
"1572","Hematopoietic stem cells_CD133+ CD34dim"
"1573","Hematopoietic stem cells_CD133+ CD34dim"
"1574","Erythroid_CD34+ CD71+ GlyA-"
"1575","Common myeloid progenitors"
"1576","Hematopoietic stem cells_CD133+ CD34dim"
"1577","Hematopoietic stem cells_CD133+ CD34dim"
"1578","Hematopoietic stem cells_CD133+ CD34dim"
"1579","Common myeloid progenitors"
"1580","Hematopoietic stem cells_CD133+ CD34dim"
"1581","Megakaryocyte/erythroid progenitors"
"1582","Erythroid_CD34+ CD71+ GlyA-"
"1583","Hematopoietic stem cells_CD133+ CD34dim"
"1584","Hematopoietic stem cells_CD133+ CD34dim"
"1585","Hematopoietic stem cells_CD133+ CD34dim"
"1586","Early B cells"
"1587","Hematopoietic stem cells_CD133+ CD34dim"
"1588","Colony Forming Unit-Monocytes"
"1589","Common myeloid progenitors"
"1590","Erythroid_CD34+ CD71+ GlyA-"
"1591","Hematopoietic stem cells_CD133+ CD34dim"
"1592","Early B cells"
"1593","Hematopoietic stem cells_CD133+ CD34dim"
"1594","Hematopoietic stem cells_CD133+ CD34dim"
"1595","Hematopoietic stem cells_CD133+ CD34dim"
"1596","Megakaryocyte/erythroid progenitors"
"1597","Early B cells"
"1598","Hematopoietic stem cells_CD133+ CD34dim"
"1599","Megakaryocyte/erythroid progenitors"
"1600","Hematopoietic stem cells_CD133+ CD34dim"
"1601","Common myeloid progenitors"
"1602","Hematopoietic stem cells_CD133+ CD34dim"
"1603","Hematopoietic stem cells_CD133+ CD34dim"
"1604","Myeloid Dendritic Cells"
"1605","Early B cells"
"1606","Erythroid_CD34+ CD71+ GlyA-"
"1607","Early B cells"
"1608","Megakaryocyte/erythroid progenitors"
"1609","Hematopoietic stem cells_CD133+ CD34dim"
"1610","Erythroid_CD34+ CD71+ GlyA-"
"1611","Hematopoietic stem cells_CD133+ CD34dim"
"1612","Hematopoietic stem cells_CD133+ CD34dim"
"1613","Megakaryocyte/erythroid progenitors"
"1614","Megakaryocyte/erythroid progenitors"
"1615","Hematopoietic stem cells_CD133+ CD34dim"
"1616","Hematopoietic stem cells_CD133+ CD34dim"
"1617","Common myeloid progenitors"
"1618","Plasmacytoid Dendritic Cells"
"1619","Hematopoietic stem cells_CD133+ CD34dim"
"1620","Erythroid_CD34+ CD71+ GlyA-"
"1621","Hematopoietic stem cells_CD133+ CD34dim"
"1622","Common myeloid progenitors"
"1623","Erythroid_CD34+ CD71+ GlyA-"
"1624","Plasmacytoid Dendritic Cells"
"1625","Early B cells"
"1626","Early B cells"
"1627","Colony Forming Unit-Monocytes"
"1628","Megakaryocyte/erythroid progenitors"
"1629","Hematopoietic stem cells_CD133+ CD34dim"
"1630","Erythroid_CD34+ CD71+ GlyA-"
"1631","Hematopoietic stem cells_CD133+ CD34dim"
"1632","Erythroid_CD34+ CD71+ GlyA-"
"1633","Common myeloid progenitors"
"1634","Hematopoietic stem cells_CD133+ CD34dim"
"1635","Hematopoietic stem cells_CD133+ CD34dim"
"1636","Common myeloid progenitors"
"1637","Hematopoietic stem cells_CD133+ CD34dim"
"1638","Hematopoietic stem cells_CD133+ CD34dim"
"1639","Early B cells"
"1640","Hematopoietic stem cells_CD133+ CD34dim"
"1641","Erythroid_CD34+ CD71+ GlyA-"
"1642","Hematopoietic stem cells_CD133+ CD34dim"
"1643","Hematopoietic stem cells_CD133+ CD34dim"
"1644","Hematopoietic stem cells_CD133+ CD34dim"
"1645","Common myeloid progenitors"
"1646","Hematopoietic stem cells_CD133+ CD34dim"
"1647","Common myeloid progenitors"
"1648","Hematopoietic stem cells_CD133+ CD34dim"
"1649","Erythroid_CD34+ CD71+ GlyA-"
"1650","Hematopoietic stem cells_CD133+ CD34dim"
"1651","Common myeloid progenitors"
"1652","Early B cells"
"1653","Early B cells"
"1654","Common myeloid progenitors"
"1655","Erythroid_CD34- CD71lo GlyA+"
"1656","Colony Forming Unit-Megakaryocytic"
"1657","Erythroid_CD34+ CD71+ GlyA-"
"1658","Myeloid Dendritic Cells"
"1659","Early B cells"
"1660","Hematopoietic stem cells_CD133+ CD34dim"
"1661","Hematopoietic stem cells_CD133+ CD34dim"
"1662","Hematopoietic stem cells_CD133+ CD34dim"
"1663","Erythroid_CD34- CD71lo GlyA+"
"1664","Common myeloid progenitors"
"1665","Early B cells"
"1666","Hematopoietic stem cells_CD133+ CD34dim"
"1667","Common myeloid progenitors"
"1668","Megakaryocyte/erythroid progenitors"
"1669","Early B cells"
"1670","Erythroid_CD34+ CD71+ GlyA-"
"1671","Erythroid_CD34+ CD71+ GlyA-"
"1672","Colony Forming Unit-Monocytes"
"1673","Erythroid_CD34- CD71+ GlyA+"
"1674","Hematopoietic stem cells_CD133+ CD34dim"
"1675","Common myeloid progenitors"
"1676","Common myeloid progenitors"
"1677","Hematopoietic stem cells_CD133+ CD34dim"
"1678","Erythroid_CD34+ CD71+ GlyA-"
"1679","Plasmacytoid Dendritic Cells"
"1680","Erythroid_CD34+ CD71+ GlyA-"
"1681","Hematopoietic stem cells_CD133+ CD34dim"
"1682","Plasmacytoid Dendritic Cells"
"1683","Plasmacytoid Dendritic Cells"
"1684","Early B cells"
"1685","Hematopoietic stem cells_CD133+ CD34dim"
"1686","Monocytes"
"1687","Colony Forming Unit-Monocytes"
"1688","Common myeloid progenitors"
"1689","Colony Forming Unit-Monocytes"
"1690","Hematopoietic stem cells_CD133+ CD34dim"
"1691","Erythroid_CD34- CD71+ GlyA-"
"1692","Erythroid_CD34+ CD71+ GlyA-"
"1693","Megakaryocyte/erythroid progenitors"
"1694","Plasmacytoid Dendritic Cells"
"1695","Colony Forming Unit-Monocytes"
"1696","Hematopoietic stem cells_CD133+ CD34dim"
"1697","Early B cells"
"1698","Hematopoietic stem cells_CD133+ CD34dim"
"1699","Hematopoietic stem cells_CD133+ CD34dim"
"1700","Hematopoietic stem cells_CD133+ CD34dim"
"1701","Plasmacytoid Dendritic Cells"
"1702","Common myeloid progenitors"
"1703","Hematopoietic stem cells_CD133+ CD34dim"
"1704","Erythroid_CD34+ CD71+ GlyA-"
"1705","Erythroid_CD34+ CD71+ GlyA-"
"1706","Hematopoietic stem cells_CD133+ CD34dim"
"1707","Naïve B cells"
"1708","Common myeloid progenitors"
"1709","Erythroid_CD34+ CD71+ GlyA-"
"1710","Hematopoietic stem cells_CD133+ CD34dim"
"1711","Hematopoietic stem cells_CD133+ CD34dim"
"1712","Hematopoietic stem cells_CD133+ CD34dim"
"1713","Hematopoietic stem cells_CD133+ CD34dim"
"1714","Common myeloid progenitors"
"1715","Colony Forming Unit-Monocytes"
"1716","Common myeloid progenitors"
"1717","Hematopoietic stem cells_CD133+ CD34dim"
"1718","Early B cells"
"1719","Monocytes"
"1720","Colony Forming Unit-Monocytes"
"1721","Hematopoietic stem cells_CD133+ CD34dim"
"1722","Hematopoietic stem cells_CD133+ CD34dim"
"1723","Hematopoietic stem cells_CD133+ CD34dim"
"1724","Common myeloid progenitors"
"1725","Hematopoietic stem cells_CD133+ CD34dim"
"1726","Hematopoietic stem cells_CD133+ CD34dim"
"1727","Hematopoietic stem cells_CD133+ CD34dim"
"1728","Erythroid_CD34+ CD71+ GlyA-"
"1729","Hematopoietic stem cells_CD133+ CD34dim"
"1730","Hematopoietic stem cells_CD133+ CD34dim"
"1731","Hematopoietic stem cells_CD133+ CD34dim"
"1732","Hematopoietic stem cells_CD133+ CD34dim"
"1733","Common myeloid progenitors"
"1734","Hematopoietic stem cells_CD133+ CD34dim"
"1735","Common myeloid progenitors"
"1736","Granulocyte/monocyte progenitors"
"1737","Erythroid_CD34+ CD71+ GlyA-"
"1738","Hematopoietic stem cells_CD133+ CD34dim"
"1739","Common myeloid progenitors"
"1740","Hematopoietic stem cells_CD133+ CD34dim"
"1741","Hematopoietic stem cells_CD133+ CD34dim"
"1742","Common myeloid progenitors"
"1743","Common myeloid progenitors"
"1744","Erythroid_CD34- CD71+ GlyA+"
"1745","Hematopoietic stem cells_CD133+ CD34dim"
"1746","Colony Forming Unit-Monocytes"
"1747","Hematopoietic stem cells_CD133+ CD34dim"
"1748","Hematopoietic stem cells_CD133+ CD34dim"
"1749","Erythroid_CD34+ CD71+ GlyA-"
"1750","Common myeloid progenitors"
"1751","Colony Forming Unit-Monocytes"
"1752","Erythroid_CD34+ CD71+ GlyA-"
"1753","Colony Forming Unit-Monocytes"
"1754","Colony Forming Unit-Monocytes"
"1755","Common myeloid progenitors"
"1756","Early B cells"
"1757","Megakaryocyte/erythroid progenitors"
"1758","Erythroid_CD34- CD71lo GlyA+"
"1759","Hematopoietic stem cells_CD133+ CD34dim"
"1760","Hematopoietic stem cells_CD133+ CD34dim"
"1761","Erythroid_CD34- CD71+ GlyA+"
"1762","Hematopoietic stem cells_CD133+ CD34dim"
"1763","Megakaryocyte/erythroid progenitors"
"1764","Megakaryocyte/erythroid progenitors"
"1765","Common myeloid progenitors"
"1766","Megakaryocyte/erythroid progenitors"
"1767","Myeloid Dendritic Cells"
"1768","Common myeloid progenitors"
"1769","Colony Forming Unit-Megakaryocytic"
"1770","Hematopoietic stem cells_CD133+ CD34dim"
"1771","Hematopoietic stem cells_CD133+ CD34dim"
"1772","Common myeloid progenitors"
"1773","Hematopoietic stem cells_CD133+ CD34dim"
"1774","Hematopoietic stem cells_CD133+ CD34dim"
"1775","Common myeloid progenitors"
"1776","Hematopoietic stem cells_CD133+ CD34dim"
"1777","Megakaryocyte/erythroid progenitors"
"1778","Hematopoietic stem cells_CD133+ CD34dim"
"1779","Hematopoietic stem cells_CD133+ CD34dim"
"1780","Hematopoietic stem cells_CD133+ CD34dim"
"1781","Hematopoietic stem cells_CD133+ CD34dim"
"1782","Hematopoietic stem cells_CD133+ CD34dim"
"1783","Common myeloid progenitors"
"1784","Hematopoietic stem cells_CD133+ CD34dim"
"1785","Early B cells"
"1786","Common myeloid progenitors"
"1787","Hematopoietic stem cells_CD133+ CD34dim"
"1788","Erythroid_CD34+ CD71+ GlyA-"
"1789","Erythroid_CD34+ CD71+ GlyA-"
"1790","Hematopoietic stem cells_CD133+ CD34dim"
"1791","Erythroid_CD34- CD71+ GlyA-"
"1792","Erythroid_CD34- CD71+ GlyA+"
"1793","Early B cells"
"1794","Hematopoietic stem cells_CD133+ CD34dim"
"1795","Megakaryocyte/erythroid progenitors"
"1796","Hematopoietic stem cells_CD133+ CD34dim"
"1797","Erythroid_CD34+ CD71+ GlyA-"
"1798","Erythroid_CD34+ CD71+ GlyA-"
"1799","Hematopoietic stem cells_CD133+ CD34dim"
"1800","Erythroid_CD34- CD71lo GlyA+"
"1801","Hematopoietic stem cells_CD133+ CD34dim"
"1802","Hematopoietic stem cells_CD133+ CD34dim"
"1803","Hematopoietic stem cells_CD133+ CD34dim"
"1804","Plasmacytoid Dendritic Cells"
"1805","Hematopoietic stem cells_CD133+ CD34dim"
"1806","Hematopoietic stem cells_CD133+ CD34dim"
"1807","Common myeloid progenitors"
"1808","Hematopoietic stem cells_CD133+ CD34dim"
"1809","Hematopoietic stem cells_CD133+ CD34dim"
"1810","Hematopoietic stem cells_CD133+ CD34dim"
"1811","Hematopoietic stem cells_CD133+ CD34dim"
"1812","Erythroid_CD34- CD71lo GlyA+"
"1813","Hematopoietic stem cells_CD133+ CD34dim"
"1814","Erythroid_CD34- CD71+ GlyA-"
"1815","Hematopoietic stem cells_CD133+ CD34dim"
"1816","Hematopoietic stem cells_CD133+ CD34dim"
"1817","Early B cells"
"1818","Early B cells"
"1819","Common myeloid progenitors"
"1820","Hematopoietic stem cells_CD133+ CD34dim"
"1821","Mature NK cells_CD56- CD16- CD3-"
"1822","Hematopoietic stem cells_CD133+ CD34dim"
"1823","Hematopoietic stem cells_CD133+ CD34dim"
"1824","Hematopoietic stem cells_CD133+ CD34dim"
"1825","Early B cells"
"1826","Hematopoietic stem cells_CD133+ CD34dim"
"1827","Erythroid_CD34+ CD71+ GlyA-"
"1828","Erythroid_CD34+ CD71+ GlyA-"
"1829","Early B cells"
"1830","Megakaryocyte/erythroid progenitors"
"1831","Hematopoietic stem cells_CD133+ CD34dim"
"1832","Erythroid_CD34+ CD71+ GlyA-"
"1833","Hematopoietic stem cells_CD133+ CD34dim"
"1834","Hematopoietic stem cells_CD133+ CD34dim"
"1835","Hematopoietic stem cells_CD133+ CD34dim"
